,League,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Year,Month,Day_n,Game
272,IT,27,Sun,2022-02-27,20:45 (22:45),Lazio,,Napoli,,Stadio Olimpico,,Head-to-Head,,2022,02,27,Lazio vs Napoli
273,IT,27,Mon,2022-02-28,20:45 (22:45),Atalanta,,Sampdoria,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,,2022,02,28,Atalanta vs Sampdoria
274,IT,28,Fri,2022-03-04,20:45 (22:45),Inter,,Salernitana,,Stadio Giuseppe Meazza,,Head-to-Head,,2022,03,04,Inter vs Salernitana
275,IT,28,Sat,2022-03-05,15:00 (17:00),Udinese,,Sampdoria,,Dacia Arena,,Head-to-Head,,2022,03,05,Udinese vs Sampdoria
276,IT,28,Sat,2022-03-05,18:00 (20:00),Roma,,Atalanta,,Stadio Olimpico,,Head-to-Head,,2022,03,05,Roma vs Atalanta
277,IT,28,Sat,2022-03-05,20:45 (22:45),Cagliari,,Lazio,,Sardegna Arena,,Head-to-Head,,2022,03,05,Cagliari vs Lazio
278,IT,28,Sun,2022-03-06,12:30 (14:30),Genoa,,Empoli,,Stadio Comunale Luigi Ferraris,,Head-to-Head,,2022,03,06,Genoa vs Empoli
279,IT,28,Sun,2022-03-06,15:00 (17:00),Fiorentina,,Hellas Verona,,Stadio Artemio Franchi,,Head-to-Head,,2022,03,06,Fiorentina vs Hellas Verona
280,IT,28,Sun,2022-03-06,15:00 (17:00),Venezia,,Sassuolo,,Stadio Pierluigi Penzo,,Head-to-Head,,2022,03,06,Venezia vs Sassuolo
281,IT,28,Sun,2022-03-06,15:00 (17:00),Bologna,,Torino,,Stadio Renato Dall'Ara,,Head-to-Head,,2022,03,06,Bologna vs Torino
282,IT,28,Sun,2022-03-06,18:00 (20:00),Juventus,,Spezia,,Allianz Stadium,,Head-to-Head,,2022,03,06,Juventus vs Spezia
283,IT,28,Sun,2022-03-06,20:45 (22:45),Napoli,,Milan,,Stadio San Paolo,,Head-to-Head,,2022,03,06,Napoli vs Milan
284,IT,29,Sun,2022-03-13,,Atalanta,,Genoa,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,,2022,03,13,Atalanta vs Genoa
285,IT,29,Sun,2022-03-13,,Salernitana,,Sassuolo,,Stadio Arechi,,Head-to-Head,,2022,03,13,Salernitana vs Sassuolo
286,IT,29,Sun,2022-03-13,,Lazio,,Venezia,,Stadio Olimpico,,Head-to-Head,,2022,03,13,Lazio vs Venezia
287,IT,29,Sun,2022-03-13,,Spezia,,Cagliari,,Stadio Alberto Picco,,Head-to-Head,,2022,03,13,Spezia vs Cagliari
288,IT,29,Sun,2022-03-13,,Hellas Verona,,Napoli,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,,2022,03,13,Hellas Verona vs Napoli
289,IT,29,Sun,2022-03-13,,Udinese,,Roma,,Dacia Arena,,Head-to-Head,,2022,03,13,Udinese vs Roma
290,IT,29,Sun,2022-03-13,,Milan,,Empoli,,Stadio Giuseppe Meazza,,Head-to-Head,,2022,03,13,Milan vs Empoli
291,IT,29,Sun,2022-03-13,,Sampdoria,,Juventus,,Stadio Comunale Luigi Ferraris,,Head-to-Head,,2022,03,13,Sampdoria vs Juventus
292,IT,29,Sun,2022-03-13,,Fiorentina,,Bologna,,Stadio Artemio Franchi,,Head-to-Head,,2022,03,13,Fiorentina vs Bologna
293,IT,29,Sun,2022-03-13,,Torino,,Inter,,Stadio Olimpico di Torino,,Head-to-Head,,2022,03,13,Torino vs Inter
294,IT,30,Sun,2022-03-20,,Sassuolo,,Spezia,,,,Head-to-Head,,2022,03,20,Sassuolo vs Spezia
295,IT,30,Sun,2022-03-20,,Napoli,,Udinese,,,,Head-to-Head,,2022,03,20,Napoli vs Udinese
296,IT,30,Sun,2022-03-20,,Roma,,Lazio,,,,Head-to-Head,,2022,03,20,Roma vs Lazio
297,IT,30,Sun,2022-03-20,,Genoa,,Torino,,,,Head-to-Head,,2022,03,20,Genoa vs Torino
298,IT,30,Sun,2022-03-20,,Juventus,,Salernitana,,,,Head-to-Head,,2022,03,20,Juventus vs Salernitana
299,IT,30,Sun,2022-03-20,,Empoli,,Hellas Verona,,,,Head-to-Head,,2022,03,20,Empoli vs Hellas Verona
300,IT,30,Sun,2022-03-20,,Bologna,,Atalanta,,,,Head-to-Head,,2022,03,20,Bologna vs Atalanta
301,IT,30,Sun,2022-03-20,,Cagliari,,Milan,,,,Head-to-Head,,2022,03,20,Cagliari vs Milan
302,IT,30,Sun,2022-03-20,,Venezia,,Sampdoria,,,,Head-to-Head,,2022,03,20,Venezia vs Sampdoria
303,IT,30,Sun,2022-03-20,,Inter,,Fiorentina,,,,Head-to-Head,,2022,03,20,Inter vs Fiorentina
304,IT,31,Sun,2022-04-03,,Milan,,Bologna,,,,Head-to-Head,,2022,04,03,Milan vs Bologna
305,IT,31,Sun,2022-04-03,,Salernitana,,Torino,,,,Head-to-Head,,2022,04,03,Salernitana vs Torino
306,IT,31,Sun,2022-04-03,,Fiorentina,,Empoli,,,,Head-to-Head,,2022,04,03,Fiorentina vs Empoli
307,IT,31,Sun,2022-04-03,,Udinese,,Cagliari,,,,Head-to-Head,,2022,04,03,Udinese vs Cagliari
308,IT,31,Sun,2022-04-03,,Sampdoria,,Roma,,,,Head-to-Head,,2022,04,03,Sampdoria vs Roma
309,IT,31,Sun,2022-04-03,,Juventus,,Inter,,,,Head-to-Head,,2022,04,03,Juventus vs Inter
310,IT,31,Sun,2022-04-03,,Lazio,,Sassuolo,,,,Head-to-Head,,2022,04,03,Lazio vs Sassuolo
311,IT,31,Sun,2022-04-03,,Hellas Verona,,Genoa,,,,Head-to-Head,,2022,04,03,Hellas Verona vs Genoa
312,IT,31,Sun,2022-04-03,,Spezia,,Venezia,,,,Head-to-Head,,2022,04,03,Spezia vs Venezia
313,IT,31,Sun,2022-04-03,,Atalanta,,Napoli,,,,Head-to-Head,,2022,04,03,Atalanta vs Napoli
314,IT,32,Sun,2022-04-10,,Venezia,,Udinese,,,,Head-to-Head,,2022,04,10,Venezia vs Udinese
315,IT,32,Sun,2022-04-10,,Roma,,Salernitana,,,,Head-to-Head,,2022,04,10,Roma vs Salernitana
316,IT,32,Sun,2022-04-10,,Sassuolo,,Atalanta,,,,Head-to-Head,,2022,04,10,Sassuolo vs Atalanta
317,IT,32,Sun,2022-04-10,,Torino,,Milan,,,,Head-to-Head,,2022,04,10,Torino vs Milan
318,IT,32,Sun,2022-04-10,,Bologna,,Sampdoria,,,,Head-to-Head,,2022,04,10,Bologna vs Sampdoria
319,IT,32,Sun,2022-04-10,,Genoa,,Lazio,,,,Head-to-Head,,2022,04,10,Genoa vs Lazio
320,IT,32,Sun,2022-04-10,,Empoli,,Spezia,,,,Head-to-Head,,2022,04,10,Empoli vs Spezia
321,IT,32,Sun,2022-04-10,,Cagliari,,Juventus,,,,Head-to-Head,,2022,04,10,Cagliari vs Juventus
322,IT,32,Sun,2022-04-10,,Inter,,Hellas Verona,,,,Head-to-Head,,2022,04,10,Inter vs Hellas Verona
323,IT,32,Sun,2022-04-10,,Napoli,,Fiorentina,,,,Head-to-Head,,2022,04,10,Napoli vs Fiorentina
324,IT,33,Sat,2022-04-16,,Napoli,,Roma,,,,Head-to-Head,,2022,04,16,Napoli vs Roma
325,IT,33,Sat,2022-04-16,,Udinese,,Empoli,,,,Head-to-Head,,2022,04,16,Udinese vs Empoli
326,IT,33,Sat,2022-04-16,,Fiorentina,,Venezia,,,,Head-to-Head,,2022,04,16,Fiorentina vs Venezia
327,IT,33,Sat,2022-04-16,,Cagliari,,Sassuolo,,,,Head-to-Head,,2022,04,16,Cagliari vs Sassuolo
328,IT,33,Sat,2022-04-16,,Sampdoria,,Salernitana,,,,Head-to-Head,,2022,04,16,Sampdoria vs Salernitana
329,IT,33,Sat,2022-04-16,,Atalanta,,Hellas Verona,,,,Head-to-Head,,2022,04,16,Atalanta vs Hellas Verona
330,IT,33,Sat,2022-04-16,,Spezia,,Inter,,,,Head-to-Head,,2022,04,16,Spezia vs Inter
331,IT,33,Sat,2022-04-16,,Lazio,,Torino,,,,Head-to-Head,,2022,04,16,Lazio vs Torino
332,IT,33,Sat,2022-04-16,,Milan,,Genoa,,,,Head-to-Head,,2022,04,16,Milan vs Genoa
333,IT,33,Sat,2022-04-16,,Juventus,,Bologna,,,,Head-to-Head,,2022,04,16,Juventus vs Bologna
