Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sun,2013-12-15,,Heracles Almelo,2–0,AZ Alkmaar,,Polman Stadion,Serdar Gözübüyük,Match Report,
18,Fri,2013-12-20,,RKC Waalwijk,1–1,Twente,,Mandemakers Stadion,Pol van Boekel,Match Report,
18,Sat,2013-12-21,,AZ Alkmaar,1–5,Heerenveen,,AFAS Stadion,Kevin Blom,Match Report,
18,Sat,2013-12-21,,Heracles Almelo,2–2,Vitesse,,Polman Stadion,Pieter Vink,Match Report,
18,Sat,2013-12-21,,Feyenoord,3–0,Zwolle,,De Kuip,Serdar Gözübüyük,Match Report,
18,Sat,2013-12-21,,NAC Breda,1–0,Cambuur,,Rat Verlegh Stadion,Dennis Higler,Match Report,
18,Sun,2013-12-22,,Roda JC,1–2,Ajax,,Parkstad Limburg Stadion,Bas Nijhuis,Match Report,
18,Sun,2013-12-22,,Go Ahead Eag,2–1,Utrecht,,De Adelaarshorst,Reinold Wiedemeijer,Match Report,
18,Sun,2013-12-22,,Groningen,5–2,NEC Nijmegen,,Euroborg,Richard Liesveld,Match Report,
18,Sun,2013-12-22,,PSV Eindhoven,2–0,ADO Den Haag,,Philips Stadion,Tom van Sichem,Match Report,
19,Fri,2014-01-17,,Twente,3–1,Heracles Almelo,,De Grolsch Veste,Reinold Wiedemeijer,Match Report,
19,Sat,2014-01-18,,Zwolle,1–2,Vitesse,,IJsseldelta Stadion,Richard Liesveld,Match Report,
19,Sat,2014-01-18,,RKC Waalwijk,1–1,Groningen,,Mandemakers Stadion,Dennis Higler,Match Report,
19,Sat,2014-01-18,,AZ Alkmaar,3–0,NAC Breda,,AFAS Stadion,Eric Braamhaar,Match Report,
19,Sat,2014-01-18,,Heerenveen,2–2,Roda JC,,Abe Lenstra stadion,Pol van Boekel,Match Report,
19,Sun,2014-01-19,,NEC Nijmegen,3–1,ADO Den Haag,,Goffertstadion,Danny Makkelie,Match Report,
19,Sun,2014-01-19,,Ajax,1–0,PSV Eindhoven,,Amsterdam ArenA,Björn Kuipers,Match Report,
19,Sun,2014-01-19,,Utrecht,2–5,Feyenoord,,Galgenwaard,Pieter Vink,Match Report,
19,Sun,2014-01-19,,Cambuur,2–0,Go Ahead Eag,,Cambuurstadion,Ed Janssen,Match Report,
20,Fri,2014-01-24,,Heracles Almelo,2–1,RKC Waalwijk,,Polman Stadion,Danny Makkelie,Match Report,
20,Sat,2014-01-25,,Roda JC,1–0,Utrecht,,Parkstad Limburg Stadion,Eric Braamhaar,Match Report,
20,Sat,2014-01-25,,ADO Den Haag,3–2,Feyenoord,,Kyocera Stadium,Björn Kuipers,Match Report,
20,Sat,2014-01-25,,PSV Eindhoven,1–0,AZ Alkmaar,,Philips Stadion,Pol van Boekel,Match Report,
20,Sat,2014-01-25,,NAC Breda,1–2,Zwolle,,Rat Verlegh Stadion,Dennis Higler,Match Report,
20,Sun,2014-01-26,,Go Ahead Eag,0–1,Ajax,,De Adelaarshorst,Reinold Wiedemeijer,Match Report,
20,Sun,2014-01-26,,Cambuur,3–1,Heerenveen,,Cambuurstadion,Serdar Gözübüyük,Match Report,
20,Sun,2014-01-26,,Vitesse,1–1,NEC Nijmegen,,GelreDome,Pieter Vink,Match Report,
21,Fri,2014-01-31,,Feyenoord,1–1,Vitesse,,De Kuip,Serdar Gözübüyük,Match Report,
21,Sat,2014-02-01,,Zwolle,3–1,Roda JC,,IJsseldelta Stadion,Björn Kuipers,Match Report,
21,Sat,2014-02-01,,Heerenveen,3–0,ADO Den Haag,,Abe Lenstra stadion,Ed Janssen,Match Report,
21,Sat,2014-02-01,,Heracles Almelo,1–2,NAC Breda,,Polman Stadion,Martin van den Kerkhof,Match Report,
21,Sat,2014-02-01,,AZ Alkmaar,2–0,Groningen,,AFAS Stadion,Kevin Blom,Match Report,
21,Sun,2014-02-02,,Twente,3–1,Cambuur,,De Grolsch Veste,Pol van Boekel,Match Report,
21,Sun,2014-02-02,,NEC Nijmegen,1–1,Go Ahead Eag,,Goffertstadion,Jochem Kamphuis,Match Report,
21,Sun,2014-02-02,,RKC Waalwijk,2–0,PSV Eindhoven,,Mandemakers Stadion,Bas Nijhuis,Match Report,
21,Sun,2014-02-02,,Utrecht,1–1,Ajax,,Galgenwaard,Richard Liesveld,Match Report,
22,Tue,2014-02-04,,Roda JC,1–2,Feyenoord,,Parkstad Limburg Stadion,Danny Makkelie,Match Report,
22,Tue,2014-02-04,,ADO Den Haag,0–3,Heracles Almelo,,Kyocera Stadium,Dennis Higler,Match Report,
22,Tue,2014-02-04,,Vitesse,0–2,AZ Alkmaar,,GelreDome,Reinold Wiedemeijer,Match Report,
22,Wed,2014-02-05,,NEC Nijmegen,1–1,NAC Breda,,Goffertstadion,Ed Janssen,Match Report,
22,Wed,2014-02-05,,Go Ahead Eag,2–2,RKC Waalwijk,,De Adelaarshorst,Eric Braamhaar,Match Report,
22,Wed,2014-02-05,,Heerenveen,0–2,Twente,,Abe Lenstra stadion,Richard Liesveld,Match Report,
22,Wed,2014-02-05,,Cambuur,1–2,PSV Eindhoven,,Cambuurstadion,Pieter Vink,Match Report,
22,Thu,2014-02-06,,Ajax,2–1,Groningen,,Amsterdam ArenA,Serdar Gözübüyük,Match Report,
22,Thu,2014-02-06,,Utrecht,1–2,Zwolle,,Galgenwaard,Jeroen Sanders,Match Report,
23,Fri,2014-02-07,,Vitesse,0–0,ADO Den Haag,,GelreDome,Pol van Boekel,Match Report,
23,Sat,2014-02-08,,NAC Breda,2–0,Roda JC,,Rat Verlegh Stadion,Tom van Sichem,Match Report,
23,Sat,2014-02-08,,Go Ahead Eag,2–1,AZ Alkmaar,,De Adelaarshorst,Danny Makkelie,Match Report,
23,Sat,2014-02-08,,PSV Eindhoven,3–2,Twente,,Philips Stadion,Kevin Blom,Match Report,
23,Sat,2014-02-08,,Feyenoord,5–1,NEC Nijmegen,,De Kuip,Reinold Wiedemeijer,Match Report,
23,Sun,2014-02-09,,RKC Waalwijk,5–2,Utrecht,,Mandemakers Stadion,Martin van den Kerkhof,Match Report,
23,Sun,2014-02-09,,Groningen,1–3,Heerenveen,,Euroborg,Bas Nijhuis,Match Report,
23,Sun,2014-02-09,,Heracles Almelo,1–1,Cambuur,,Polman Stadion,Jochem Kamphuis,Match Report,
23,Sun,2014-02-09,,Zwolle,1–1,Ajax,,IJsseldelta Stadion,Eric Braamhaar,Match Report,
20,Wed,2014-02-12,,Groningen,1–1,Twente,,Euroborg,Danny Makkelie,Match Report,
24,Fri,2014-02-14,,PSV Eindhoven,2–1,Heracles Almelo,,Philips Stadion,Richard Liesveld,Match Report,
24,Sat,2014-02-15,,Roda JC,0–1,ADO Den Haag,,Parkstad Limburg Stadion,Kevin Blom,Match Report,
24,Sat,2014-02-15,,RKC Waalwijk,1–3,NEC Nijmegen,,Mandemakers Stadion,Serdar Gözübüyük,Match Report,
24,Sat,2014-02-15,,AZ Alkmaar,1–1,Utrecht,,AFAS Stadion,Dennis Higler,Match Report,
24,Sat,2014-02-15,,Twente,2–0,Vitesse,,De Grolsch Veste,Pieter Vink,Match Report,
24,Sun,2014-02-16,,Groningen,1–0,Go Ahead Eag,,Euroborg,Tom van Sichem,Match Report,
24,Sun,2014-02-16,,Ajax,3–0,Heerenveen,,Amsterdam ArenA,Pol van Boekel,Match Report,
24,Sun,2014-02-16,,Cambuur,3–1,Zwolle,,Cambuurstadion,Jeroen Manschot,Match Report,
24,Sun,2014-02-16,,NAC Breda,1–1,Feyenoord,,Rat Verlegh Stadion,Bas Nijhuis,Match Report,
25,Fri,2014-02-21,,ADO Den Haag,3–2,Go Ahead Eag,,Kyocera Stadium,Richard Liesveld,Match Report,
25,Sat,2014-02-22,,Cambuur,1–0,Roda JC,,Cambuurstadion,Bas Nijhuis,Match Report,
25,Sat,2014-02-22,,NEC Nijmegen,0–2,PSV Eindhoven,,Goffertstadion,Björn Kuipers,Match Report,
25,Sat,2014-02-22,,Zwolle,1–1,Heracles Almelo,,IJsseldelta Stadion,Kevin Blom,Match Report,
25,Sat,2014-02-22,,Heerenveen,0–0,NAC Breda,,Abe Lenstra stadion,Eric Braamhaar,Match Report,
25,Sun,2014-02-23,,Ajax,4–0,AZ Alkmaar,,Amsterdam ArenA,Pieter Vink,Match Report,
25,Sun,2014-02-23,,Utrecht,1–0,Groningen,,Galgenwaard,Ed Janssen,Match Report,
25,Sun,2014-02-23,,Twente,2–2,Feyenoord,,De Grolsch Veste,Serdar Gözübüyük,Match Report,
25,Sun,2014-02-23,,Vitesse,3–1,RKC Waalwijk,,GelreDome,Dennis Higler,Match Report,
26,Fri,2014-02-28,,Heracles Almelo,1–2,Heerenveen,,Polman Stadion,Jeroen Manschot,Match Report,
26,Sat,2014-03-01,,ADO Den Haag,1–1,NAC Breda,,Kyocera Stadium,Danny Makkelie,Match Report,
26,Sat,2014-03-01,,Vitesse,3–0,Roda JC,,GelreDome,Richard Liesveld,Match Report,
26,Sat,2014-03-01,,Zwolle,3–3,NEC Nijmegen,,IJsseldelta Stadion,Dennis Higler,Match Report,
26,Sat,2014-03-01,,Go Ahead Eag,2–3,PSV Eindhoven,,De Adelaarshorst,Reinold Wiedemeijer,Match Report,
26,Sun,2014-03-02,,Groningen,1–1,Cambuur,,Euroborg,Kevin Blom,Match Report,
26,Sun,2014-03-02,,AZ Alkmaar,4–0,RKC Waalwijk,,AFAS Stadion,Jochem Kamphuis,Match Report,
26,Sun,2014-03-02,,Utrecht,1–1,Twente,,Galgenwaard,Tom van Sichem,Match Report,
26,Sun,2014-03-02,,Feyenoord,1–2,Ajax,,De Kuip,Björn Kuipers,Match Report,
27,Sat,2014-03-08,,PSV Eindhoven,1–0,Utrecht,,Philips Stadion,Serdar Gözübüyük,Match Report,
27,Sat,2014-03-08,,Roda JC,3–1,NEC Nijmegen,,Parkstad Limburg Stadion,Pieter Vink,Match Report,
27,Sat,2014-03-08,,Heerenveen,3–0,Zwolle,,Abe Lenstra stadion,Ed Janssen,Match Report,
27,Sat,2014-03-08,,NAC Breda,1–2,Vitesse,,Rat Verlegh Stadion,Björn Kuipers,Match Report,
27,Sat,2014-03-08,,AZ Alkmaar,4–0,Heracles Almelo,,AFAS Stadion,Jeroen Sanders,Match Report,
27,Sun,2014-03-09,,Ajax,1–1,Cambuur,,Amsterdam ArenA,Danny Makkelie,Match Report,
27,Sun,2014-03-09,,Groningen,0–2,Feyenoord,,Euroborg,Eric Braamhaar,Match Report,
27,Sun,2014-03-09,,RKC Waalwijk,1–1,ADO Den Haag,,Mandemakers Stadion,Bas Nijhuis,Match Report,
27,Sun,2014-03-09,,Go Ahead Eag,1–0,Twente,,De Adelaarshorst,Pol van Boekel,Match Report,
28,Fri,2014-03-14,,Cambuur,3–2,RKC Waalwijk,,Cambuurstadion,Tom van Sichem,Match Report,
28,Sat,2014-03-15,,ADO Den Haag,2–1,Groningen,,Kyocera Stadium,Reinold Wiedemeijer,Match Report,
