Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2,Sun,2021-08-15,17:00 (18:00),Lens,1.8,2–2,1.2,Saint-Étienne,35541,Stade Bollaert-Delelis,Amaury Delerue,Match Report,
2,Sun,2021-08-15,20:45 (21:45),Marseille,1.1,2–2,0.4,Bordeaux,50000,Orange Vélodrome,Ruddy Buquet,Match Report,
3,Fri,2021-08-20,21:00 (22:00),Brest,1.2,2–4,1.4,Paris S-G,14586,Stade Francis-Le Blé,Eric Wattellier,Match Report,
3,Sat,2021-08-21,17:00 (18:00),Monaco,0.4,0–2,0.7,Lens,6483,Stade Louis II.,Jérémie Pignard,Match Report,
3,Sat,2021-08-21,21:00 (22:00),Saint-Étienne,0.4,1–1,1.2,Lille,20673,Stade Geoffroy-Guichard,Mikael Lesage,Match Report,
3,Sun,2021-08-22,13:00 (14:00),Lyon,3.8,3–3,1.3,Clermont Foot,34713,Groupama Stadium,Thomas Léonard,Match Report,
3,Sun,2021-08-22,15:00 (16:00),Montpellier,2.8,3–1,0.7,Lorient,6527,Stade de la Mosson,Bastien Dechepy,Match Report,
3,Sun,2021-08-22,15:00 (16:00),Strasbourg,2.2,1–1,1.2,Troyes,22185,Stade de la Meinau,Jérôme Brisard,Match Report,
3,Sun,2021-08-22,15:00 (16:00),Metz,0.7,1–1,1.6,Reims,14799,Stade Saint-Symphorien,Florent Batta,Match Report,
3,Sun,2021-08-22,15:00 (16:00),Bordeaux,0.7,1–1,0.9,Angers,18281,Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,
3,Sun,2021-08-22,17:00 (18:00),Rennes,0.9,1–0,0.5,Nantes,27569,Roazhon Park,Stéphanie Frappart,Match Report,
4,Fri,2021-08-27,21:00 (22:00),Nantes,1.3,0–1,1.7,Lyon,23177,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
4,Sat,2021-08-28,17:00 (18:00),Nice,3.1,4–0,0.8,Bordeaux,,Stade de Nice,Jérémie Pignard,Match Report,
4,Sat,2021-08-28,21:00 (22:00),Marseille,2.6,3–1,1.0,Saint-Étienne,55039,Orange Vélodrome,Benoît Millot,Match Report,
4,Sun,2021-08-29,13:00 (14:00),Troyes,1.0,1–2,2.0,Monaco,9866,Stade de l'Aube,Johan Hamel,Match Report,
4,Sun,2021-08-29,15:00 (16:00),Clermont Foot,1.9,2–2,1.5,Metz,11274,Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Match Report,
4,Sun,2021-08-29,15:00 (16:00),Strasbourg,1.6,3–1,0.9,Brest,22341,Stade de la Meinau,Romain Lissorgue,Match Report,
4,Sun,2021-08-29,15:00 (16:00),Angers,2.2,2–0,0.9,Rennes,6473,Stade Raymond Kopa,Antony Gautier,Match Report,
4,Sun,2021-08-29,15:00 (16:00),Lens,2.1,2–2,1.7,Lorient,35029,Stade Bollaert-Delelis,Willy Delajod,Match Report,
4,Sun,2021-08-29,17:00 (18:00),Lille,1.7,2–1,0.6,Montpellier,28859,Stade Pierre-Mauroy,Amaury Delerue,Match Report,
4,Sun,2021-08-29,20:45 (21:45),Reims,0.6,0–2,1.2,Paris S-G,20525,Stade Auguste-Delaune II,François Letexier,Match Report,
5,Fri,2021-09-10,21:00 (22:00),Lorient,2.3,2–1,1.4,Lille,10271,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
5,Sat,2021-09-11,17:00 (18:00),Paris S-G,2.8,4–0,1.2,Clermont Foot,47329,Parc des Princes,Mikael Lesage,Match Report,
5,Sat,2021-09-11,21:00 (22:00),Monaco,0.7,0–2,1.8,Marseille,8615,Stade Louis II.,Stéphanie Frappart,Match Report,
5,Sun,2021-09-12,13:00 (14:00),Montpellier,1.2,2–0,1.0,Saint-Étienne,10402,Stade de la Mosson,Benoît Bastien,Match Report,
5,Sun,2021-09-12,15:00 (16:00),Rennes,1.0,0–2,0.5,Reims,24486,Roazhon Park,Thomas Léonard,Match Report,
5,Sun,2021-09-12,15:00 (16:00),Bordeaux,0.8,2–3,2.4,Lens,19763,Stade Matmut-Atlantique,Luís Godinho,Match Report,
5,Sun,2021-09-12,15:00 (16:00),Brest,1.6,1–1,1.3,Angers,10982,Stade Francis-Le Blé,Jeremy Stinat,Match Report,
5,Sun,2021-09-12,15:00 (16:00),Metz,1.1,0–2,0.8,Troyes,15269,Stade Saint-Symphorien,Pierre Gaillouste,Match Report,
5,Sun,2021-09-12,17:00 (18:00),Nantes,1.6,0–2,1.7,Nice,14597,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,
5,Sun,2021-09-12,20:45 (21:45),Lyon,1.9,3–1,1.8,Strasbourg,33267,Groupama Stadium,Ruddy Buquet,Match Report,
6,Fri,2021-09-17,21:00 (22:00),Strasbourg,2.0,3–0,0.5,Metz,25437,Stade de la Meinau,Eric Wattellier,Match Report,
6,Sat,2021-09-18,17:00 (18:00),Lens,0.7,1–0,0.9,Lille,36512,Stade Bollaert-Delelis,Benoît Millot,Match Report,
6,Sat,2021-09-18,21:00 (22:00),Saint-Étienne,1.4,1–2,2.0,Bordeaux,23869,Stade Geoffroy-Guichard,Antony Gautier,Match Report,
6,Sun,2021-09-19,13:00 (14:00),Nice,1.9,2–2,2.3,Monaco,,Stade de Nice,François Letexier,Match Report,
6,Sun,2021-09-19,15:00 (16:00),Angers,1.1,1–4,2.1,Nantes,9046,Stade Raymond Kopa,Amaury Delerue,Match Report,
6,Sun,2021-09-19,15:00 (16:00),Clermont Foot,0.8,1–1,0.5,Brest,11224,Stade Gabriel Montpied,Bastien Dechepy,Match Report,
6,Sun,2021-09-19,15:00 (16:00),Troyes,1.1,1–1,0.2,Montpellier,7405,Stade de l'Aube,Florent Batta,Match Report,
6,Sun,2021-09-19,15:00 (16:00),Reims,1.0,0–0,0.3,Lorient,9443,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
6,Sun,2021-09-19,17:00 (18:00),Marseille,2.2,2–0,1.5,Rennes,54188,Orange Vélodrome,Willy Delajod,Match Report,
6,Sun,2021-09-19,20:45 (21:45),Paris S-G,2.0,2–1,0.6,Lyon,47611,Parc des Princes,Clément Turpin,Match Report,
7,Wed,2021-09-22,19:00 (20:00),Rennes,2.4,6–0,0.3,Clermont Foot,24109,Roazhon Park,Benoît Bastien,Match Report,
7,Wed,2021-09-22,19:00 (20:00),Montpellier,1.5,3–3,1.0,Bordeaux,9585,Stade de la Mosson,Mikael Lesage,Match Report,
7,Wed,2021-09-22,19:00 (20:00),Lille,0.8,2–1,1.4,Reims,32604,Stade Pierre-Mauroy,Johan Hamel,Match Report,
7,Wed,2021-09-22,19:00 (20:00),Monaco,1.9,3–1,0.4,Saint-Étienne,3579,Stade Louis II.,Jérôme Brisard,Match Report,
7,Wed,2021-09-22,19:00 (20:00),Nantes,1.4,3–1,0.6,Brest,19676,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
7,Wed,2021-09-22,21:00 (22:00),Lens,1.4,0–1,0.9,Strasbourg,,Stade Bollaert-Delelis,Jeremy Stinat,Match Report,
7,Wed,2021-09-22,21:00 (22:00),Lorient,0.5,1–0,2.3,Nice,10687,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
7,Wed,2021-09-22,21:00 (22:00),Angers,0.4,0–0,0.7,Marseille,12458,Stade Raymond Kopa,Ruddy Buquet,Match Report,
7,Wed,2021-09-22,21:00 (22:00),Metz,0.6,1–2,1.2,Paris S-G,2661,Stade Saint-Symphorien,Jérémie Pignard,Match Report,
7,Wed,2021-09-22,21:00 (22:00),Lyon,2.5,3–1,1.2,Troyes,29714,Groupama Stadium,Stéphanie Frappart,Match Report,
8,Sat,2021-09-25,17:00 (18:00),Saint-Étienne,0.5,0–3,2.3,Nice,19980,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
8,Sat,2021-09-25,19:00 (20:00),Strasbourg,0.7,1–2,2.6,Lille,23762,Stade de la Meinau,François Letexier,Match Report,
8,Sat,2021-09-25,21:00 (22:00),Paris S-G,2.2,2–0,0.2,Montpellier,47408,Parc des Princes,Antony Gautier,Match Report,
8,Sat,2021-09-25,21:00 (22:00),Lyon,1.1,1–1,0.9,Lorient,36424,Groupama Stadium,Bastien Dechepy,Match Report,
8,Sun,2021-09-26,13:00 (14:00),Bordeaux,0.7,1–1,2.1,Rennes,16675,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,
8,Sun,2021-09-26,15:00 (16:00),Reims,0.7,3–1,0.8,Nantes,280,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
8,Sun,2021-09-26,15:00 (16:00),Brest,1.4,1–2,0.6,Metz,10398,Stade Francis-Le Blé,Willy Delajod,Match Report,
8,Sun,2021-09-26,15:00 (16:00),Troyes,1.2,1–1,1.2,Angers,6868,Stade de l'Aube,Thomas Léonard,Match Report,
8,Sun,2021-09-26,17:00 (18:00),Clermont Foot,1.3,1–3,1.3,Monaco,11529,Stade Gabriel Montpied,Benoît Millot,Match Report,
8,Sun,2021-09-26,20:45 (21:45),Marseille,1.8,2–3,2.0,Lens,50001,Orange Vélodrome,Mikael Lesage,Match Report,
9,Fri,2021-10-01,21:00 (22:00),Lens,2.2,2–0,0.2,Reims,,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
9,Sat,2021-10-02,17:00 (18:00),Montpellier,1.0,1–1,0.4,Strasbourg,9851,Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
9,Sat,2021-10-02,21:00 (22:00),Nice,4.2,2–1,0.5,Brest,13503,Stade de Nice,António Nobre,Match Report,
9,Sun,2021-10-03,13:00 (14:00),Rennes,0.8,2–0,1.4,Paris S-G,28092,Roazhon Park,Ruddy Buquet,Match Report,
9,Sun,2021-10-03,15:00 (16:00),Monaco,1.4,3–0,0.3,Bordeaux,3667,Stade Louis II.,Clément Turpin,Match Report,
9,Sun,2021-10-03,15:00 (16:00),Angers,2.2,3–2,1.1,Metz,3989,Stade Raymond Kopa,Stéphanie Frappart,Match Report,
9,Sun,2021-10-03,15:00 (16:00),Lorient,0.4,1–1,0.8,Clermont Foot,12611,Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Match Report,
9,Sun,2021-10-03,15:00 (16:00),Nantes,1.5,2–0,1.5,Troyes,15150,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
9,Sun,2021-10-03,17:00 (18:00),Lille,2.2,2–0,0.6,Marseille,44839,Stade Pierre-Mauroy,Jérémie Pignard,Match Report,
9,Sun,2021-10-03,20:45 (21:45),Saint-Étienne,3.3,1–1,1.3,Lyon,33643,Stade Geoffroy-Guichard,François Letexier,Match Report,
10,Fri,2021-10-15,21:00 (22:00),Paris S-G,1.9,2–1,1.4,Angers,47646,Parc des Princes,Bastien Dechepy,Match Report,
10,Sat,2021-10-16,17:00 (18:00),Clermont Foot,0.3,1–0,0.8,Lille,11537,Stade Gabriel Montpied,Eric Wattellier,Match Report,
10,Sat,2021-10-16,21:00 (22:00),Lyon,2.6,2–0,0.6,Monaco,50585,Groupama Stadium,Amaury Delerue,Match Report,
10,Sun,2021-10-17,13:00 (14:00),Troyes,1.1,1–0,0.5,Nice,7925,Stade de l'Aube,Johan Hamel,Match Report,
10,Sun,2021-10-17,15:00 (16:00),Bordeaux,0.7,1–1,1.5,Nantes,39510,Stade Matmut-Atlantique,Willy Delajod,Match Report,
10,Sun,2021-10-17,15:00 (16:00),Strasbourg,2.1,5–1,1.1,Saint-Étienne,25371,Stade de la Meinau,Mikael Lesage,Match Report,
10,Sun,2021-10-17,15:00 (16:00),Brest,0.6,1–1,0.8,Reims,9693,Stade Francis-Le Blé,Jeremy Stinat,Match Report,
10,Sun,2021-10-17,15:00 (16:00),Metz,0.9,0–3,2.2,Rennes,15679,Stade Saint-Symphorien,Benoît Millot,Match Report,
10,Sun,2021-10-17,17:00 (18:00),Montpellier,1.7,1–0,1.3,Lens,12474,Stade de la Mosson,Florent Batta,Match Report,
10,Sun,2021-10-17,20:45 (21:45),Marseille,1.7,4–1,2.3,Lorient,57349,Orange Vélodrome,Antony Gautier,Match Report,
11,Fri,2021-10-22,21:00 (22:00),Saint-Étienne,1.1,2–2,0.6,Angers,19836,Stade Geoffroy-Guichard,Antony Gautier,Match Report,
11,Sat,2021-10-23,17:00 (18:00),Nantes,1.0,2–1,0.7,Clermont Foot,19968,Stade de la Beaujoire - Louis Fonteneau,Romain Lissorgue,Match Report,
11,Sat,2021-10-23,21:00 (22:00),Lille,1.7,1–1,1.0,Brest,32613,Stade Pierre-Mauroy,Clément Turpin,Match Report,
11,Sun,2021-10-24,13:00 (14:00),Nice,2.3,3–2,2.0,Lyon,24519,Stade de Nice,Jérôme Brisard,Match Report,
11,Sun,2021-10-24,15:00 (16:00),Lens,1.9,4–1,0.6,Metz,35673,Stade Bollaert-Delelis,Jérémie Pignard,Match Report,
11,Sun,2021-10-24,15:00 (16:00),Reims,0.7,1–2,0.7,Troyes,12326,Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,
11,Sun,2021-10-24,15:00 (16:00),Lorient,1.7,1–1,1.3,Bordeaux,11678,Stade Yves Allainmat - Le Moustoir,Thomas Léonard,Match Report,
11,Sun,2021-10-24,15:00 (16:00),Rennes,1.5,1–0,0.6,Strasbourg,27185,Roazhon Park,Stéphanie Frappart,Match Report,
11,Sun,2021-10-24,17:00 (18:00),Monaco,1.7,3–1,1.1,Montpellier,4861,Stade Louis II.,François Letexier,Match Report,
11,Sun,2021-10-24,20:45 (21:45),Marseille,1.0,0–0,1.0,Paris S-G,65121,Orange Vélodrome,Benoît Bastien,Match Report,
3,Wed,2021-10-27,21:00 (22:00),Nice,2.3,1–1,0.8,Marseille,,Stade de l'Aube,Clément Turpin,Match Report,
12,Fri,2021-10-29,21:00 (22:00),Paris S-G,2.4,2–1,2.0,Lille,47874,Parc des Princes,Amaury Delerue,Match Report,
12,Sat,2021-10-30,17:00 (18:00),Metz,0.6,1–1,0.5,Saint-Étienne,15914,Stade Saint-Symphorien,Stéphanie Frappart,Match Report,
12,Sat,2021-10-30,21:00 (22:00),Lyon,2.0,2–1,2.2,Lens,50373,Groupama Stadium,Mikael Lesage,Match Report,
12,Sun,2021-10-31,13:00 (15:00),Angers,1.1,1–2,1.0,Nice,6788,Stade Raymond Kopa,Willy Delajod,Match Report,
12,Sun,2021-10-31,15:00 (17:00),Strasbourg,2.5,4–0,1.2,Lorient,24002,Stade de la Meinau,Florent Batta,Match Report,
12,Sun,2021-10-31,15:00 (17:00),Troyes,1.6,2–2,1.4,Rennes,8550,Stade de l'Aube,Jeremy Stinat,Match Report,
12,Sun,2021-10-31,15:00 (17:00),Montpellier,1.4,2–0,0.8,Nantes,11267,Stade de la Mosson,Bastien Dechepy,Match Report,
12,Sun,2021-10-31,15:00 (17:00),Bordeaux,1.8,3–2,1.2,Reims,11020,Stade Matmut-Atlantique,Eric Wattellier,Match Report,
12,Sun,2021-10-31,17:00 (19:00),Brest,1.5,2–0,0.4,Monaco,12463,Stade Francis-Le Blé,Johan Hamel,Match Report,
12,Sun,2021-10-31,20:45 (22:45),Clermont Foot,0.9,0–1,1.5,Marseille,12240,Stade Gabriel Montpied,Benoît Millot,Match Report,
13,Fri,2021-11-05,21:00 (23:00),Lens,3.2,4–0,0.6,Troyes,35706,Stade Bollaert-Delelis,Thomas Léonard,Match Report,
13,Sat,2021-11-06,17:00 (19:00),Lille,1.7,1–1,0.9,Angers,33305,Stade Pierre-Mauroy,François Letexier,Match Report,
13,Sat,2021-11-06,21:00 (23:00),Bordeaux,1.3,2–3,1.6,Paris S-G,41172,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
13,Sun,2021-11-07,13:00 (15:00),Marseille,1.3,0–0,1.4,Metz,61539,Orange Vélodrome,Jérôme Brisard,Match Report,
13,Sun,2021-11-07,15:00 (17:00),Saint-Étienne,2.1,3–2,1.1,Clermont Foot,,Stade Geoffroy-Guichard,Pierre Gaillouste,Match Report,
13,Sun,2021-11-07,15:00 (17:00),Lorient,1.2,1–2,2.5,Brest,14649,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
13,Sun,2021-11-07,15:00 (17:00),Reims,0.3,0–0,0.7,Monaco,12080,Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
13,Sun,2021-11-07,15:00 (17:00),Nantes,1.8,2–2,2.1,Strasbourg,18853,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
13,Sun,2021-11-07,17:00 (19:00),Nice,1.7,0–1,0.4,Montpellier,20157,Stade de Nice,Antony Gautier,Match Report,
13,Sun,2021-11-07,20:45 (22:45),Rennes,3.8,4–1,1.1,Lyon,28222,Roazhon Park,Benoît Bastien,Match Report,
14,Fri,2021-11-19,21:00 (23:00),Monaco,1.2,2–2,2.1,Lille,3778,Stade Louis II.,Willy Delajod,Match Report,
14,Sat,2021-11-20,17:00 (19:00),Paris S-G,1.7,3–1,1.9,Nantes,47777,Parc des Princes,Jeremy Stinat,Match Report,
14,Sat,2021-11-20,21:00 (23:00),Rennes,3.1,2–0,0.7,Montpellier,27003,Roazhon Park,Mikael Lesage,Match Report,
14,Sun,2021-11-21,13:00 (15:00),Brest,1.1,4–0,1.4,Lens,12462,Stade Francis-Le Blé,Eric Wattellier,Match Report,
14,Sun,2021-11-21,15:00 (17:00),Strasbourg,1.8,1–1,1.0,Reims,24439,Stade de la Meinau,Amaury Delerue,Match Report,
14,Sun,2021-11-21,15:00 (17:00),Metz,1.4,3–3,2.4,Bordeaux,16077,Stade Saint-Symphorien,Benoît Millot,Match Report,
14,Sun,2021-11-21,15:00 (17:00),Angers,1.3,1–0,0.9,Lorient,6971,Stade Raymond Kopa,Pierre Gaillouste,Match Report,
14,Sun,2021-11-21,15:00 (17:00),Troyes,1.2,0–1,1.2,Saint-Étienne,10644,Stade de l'Aube,Florent Batta,Match Report,
14,Sun,2021-11-21,17:00 (19:00),Clermont Foot,0.9,1–2,0.4,Nice,11683,Stade Gabriel Montpied,Stéphanie Frappart,Match Report,
15,Fri,2021-11-26,21:00 (23:00),Lens,1.0,2–2,1.5,Angers,35713,Stade Bollaert-Delelis,Florent Batta,Match Report,
15,Sat,2021-11-27,17:00 (19:00),Lille,1.3,1–1,0.6,Nantes,30419,Stade Pierre-Mauroy,Johan Hamel,Match Report,
15,Sat,2021-11-27,21:00 (23:00),Nice,1.5,0–1,0.4,Metz,17033,Stade de Nice,François Letexier,Match Report,
15,Sun,2021-11-28,13:00 (15:00),Saint-Étienne,0.8,1–3,3.2,Paris S-G,24586,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
15,Sun,2021-11-28,15:00 (17:00),Lorient,0.9,0–2,1.1,Rennes,16321,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,
15,Sun,2021-11-28,15:00 (17:00),Bordeaux,1.5,1–2,2.8,Brest,15280,Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,
15,Sun,2021-11-28,15:00 (17:00),Reims,0.8,1–0,0.5,Clermont Foot,8420,Stade Auguste-Delaune II,Benoît Bastien,Match Report,
15,Sun,2021-11-28,15:00 (17:00),Monaco,1.7,1–1,1.0,Strasbourg,3478,Stade Louis II.,Antony Gautier,Match Report,
15,Sun,2021-11-28,17:00 (19:00),Montpellier,1.5,0–1,0.9,Lyon,14747,Stade de la Mosson,Thomas Léonard,Match Report,
15,Sun,2021-11-28,20:45 (22:45),Marseille,1.4,1–0,0.1,Troyes,,Orange Vélodrome,Jérémie Pignard,Match Report,
16,Wed,2021-12-01,19:00 (21:00),Troyes,1.2,2–0,0.5,Lorient,6506,Stade de l'Aube,Jeremy Stinat,Match Report,
16,Wed,2021-12-01,19:00 (21:00),Brest,1.7,1–0,0.7,Saint-Étienne,13248,Stade Francis-Le Blé,Mikael Lesage,Match Report,
16,Wed,2021-12-01,19:00 (21:00),Strasbourg,3.0,5–2,0.9,Bordeaux,24378,Stade de la Meinau,Willy Delajod,Match Report,
16,Wed,2021-12-01,19:00 (21:00),Angers,0.9,1–3,3.4,Monaco,8267,Stade Raymond Kopa,Romain Lissorgue,Match Report,
16,Wed,2021-12-01,19:00 (21:00),Metz,1.5,1–3,1.4,Montpellier,13992,Stade Saint-Symphorien,Ruddy Buquet,Match Report,
16,Wed,2021-12-01,21:00 (23:00),Clermont Foot,1.4,2–2,0.9,Lens,11948,Stade Gabriel Montpied,Amaury Delerue,Match Report,
16,Wed,2021-12-01,21:00 (23:00),Nantes,0.2,0–1,1.1,Marseille,34018,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,
16,Wed,2021-12-01,21:00 (23:00),Rennes,0.8,1–2,0.6,Lille,25392,Roazhon Park,Stéphanie Frappart,Match Report,
16,Wed,2021-12-01,21:00 (23:00),Paris S-G,1.8,0–0,0.8,Nice,47502,Parc des Princes,Clément Turpin,Match Report,
16,Wed,2021-12-01,21:00 (23:00),Lyon,2.3,1–2,1.1,Reims,,Groupama Stadium,Benoît Millot,Match Report,
17,Sat,2021-12-04,17:00 (19:00),Marseille,2.2,1–2,1.6,Brest,54413,Orange Vélodrome,Antony Gautier,Match Report,
17,Sat,2021-12-04,19:00 (21:00),Lille,1.5,2–1,0.4,Troyes,28286,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
17,Sat,2021-12-04,21:00 (23:00),Lens,1.2,1–1,1.9,Paris S-G,36685,Stade Bollaert-Delelis,François Letexier,Match Report,
17,Sun,2021-12-05,13:00 (15:00),Saint-Étienne,0.6,0–5,2.3,Rennes,11257,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
17,Sun,2021-12-05,15:00 (17:00),Lorient,0.7,0–1,0.2,Nantes,16025,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Match Report,
17,Sun,2021-12-05,15:00 (17:00),Monaco,1.8,4–0,0.5,Metz,4923,Stade Louis II.,Bastien Dechepy,Match Report,
17,Sun,2021-12-05,15:00 (17:00),Reims,1.3,1–2,2.1,Angers,8238,Stade Auguste-Delaune II,Johan Hamel,Match Report,
17,Sun,2021-12-05,15:00 (17:00),Montpellier,0.7,1–0,0.4,Clermont Foot,9643,Stade de la Mosson,Florent Batta,Match Report,
17,Sun,2021-12-05,17:00 (19:00),Nice,1.2,0–3,2.7,Strasbourg,16220,Stade de Nice,Jérémie Pignard,Match Report,
17,Sun,2021-12-05,20:45 (22:45),Bordeaux,2.4,2–2,2.3,Lyon,25210,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
18,Fri,2021-12-10,21:00 (23:00),Nantes,1.4,3–2,1.1,Lens,21890,Stade de la Beaujoire - Louis Fonteneau,Stéphanie Frappart,Match Report,
18,Sat,2021-12-11,17:00 (19:00),Brest,0.9,0–4,1.5,Montpellier,13111,Stade Francis-Le Blé,Benoît Millot,Match Report,
18,Sat,2021-12-11,21:00 (23:00),Reims,2.3,2–0,0.1,Saint-Étienne,12019,Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,
18,Sun,2021-12-12,13:00 (15:00),Lille,2.1,0–0,0.4,Lyon,40248,Stade Pierre-Mauroy,Amaury Delerue,Match Report,
18,Sun,2021-12-12,15:00 (17:00),Metz,0.9,4–1,1.2,Lorient,14037,Stade Saint-Symphorien,Eric Wattellier,Match Report,
18,Sun,2021-12-12,15:00 (17:00),Angers,1.1,0–1,1.7,Clermont Foot,8149,Stade Raymond Kopa,Jeremy Stinat,Match Report,
18,Sun,2021-12-12,15:00 (17:00),Troyes,1.4,1–2,0.8,Bordeaux,7950,Stade de l'Aube,Romain Lissorgue,Match Report,
18,Sun,2021-12-12,15:00 (17:00),Rennes,1.7,1–2,1.3,Nice,27892,Roazhon Park,Willy Delajod,Match Report,
18,Sun,2021-12-12,17:00 (19:00),Strasbourg,1.9,0–2,0.6,Marseille,26028,Stade de la Meinau,Mikael Lesage,Match Report,
18,Sun,2021-12-12,20:45 (22:45),Paris S-G,1.6,2–0,0.6,Monaco,41154,Parc des Princes,Benoît Bastien,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Lorient,1.3,1–1,2.1,Paris S-G,16603,Stade Yves Allainmat - Le Moustoir,Jérémie Pignard,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Saint-Étienne,1.2,0–1,0.7,Nantes,23681,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Troyes,1.1,1–1,0.6,Brest,6872,Stade de l'Aube,Johan Hamel,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Monaco,1.4,2–1,1.3,Rennes,5354,Stade Louis II.,Ruddy Buquet,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Nice,0.8,2–1,1.3,Lens,22065,Stade de Nice,Jérôme Brisard,Match Report,
19,Wed,2021-12-22,21:00 (23:00),Lyon,1.5,1–1,0.5,Metz,34867,Groupama Stadium,Pierre Gaillouste,Match Report,
